study_hours,attendance_percent,assignment_score,previous_gpa,internet_access,tutoring,passed
,100.0,55.0,2.1,Yes,No,1
5.9,87.5,90.5,,No,Yes,1
5.3,81.0,72.7,1.71,No,No,0
6.5,,78.2,2.52,Yes,Yes,0
4.4,89.7,96.1,3.33,Yes,Yes,1
6.9,74.8,44.7,3.17,Yes,No,1
3.5,73.0,26.1,2.93,Yes,No,0
2.1,58.6,97.4,2.7,Yes,Yes,0
0.3,84.7,50.3,2.23,Yes,No,0
2.0,78.8,72.0,2.55,No,No,0
5.5,79.4,46.4,,Yes,No,1
1.4,82.0,32.4,2.72,No,Yes,0
3.2,74.2,69.6,3.31,No,Yes,1
7.8,84.1,77.7,1.48,Yes,Yes,1
5.5,70.1,58.3,3.54,Yes,,1
7.2,80.7,32.6,1.1,Yes,Yes,1
2.2,78.9,75.3,2.07,Yes,No,1
0.0,63.2,99.1,1.86,,Yes,0
6.7,68.7,44.7,2.11,Yes,No,1
1.4,75.5,82.1,2.36,Yes,Yes,0
4.2,75.8,74.8,3.49,Yes,No,1
4.4,84.9,42.8,1.91,Yes,No,0
2.3,77.5,85.8,1.96,No,Yes,0
6.8,81.4,73.4,2.09,Yes,Yes,1
6.8,77.5,68.5,2.22,Yes,No,1
5.0,53.5,89.8,2.16,Yes,No,1
3.9,80.6,71.1,1.68,Yes,Yes,1
4.3,72.7,89.8,2.78,No,No,1
2.0,80.2,100.0,2.51,,No,1
3.6,73.6,73.9,3.3,Yes,No,1
3.8,89.2,77.3,3.47,Yes,No,1
2.5,81.5,62.2,1.52,No,No,0
5.5,89.8,93.8,3.71,Yes,No,1
1.4,90.6,52.4,2.96,Yes,No,1
3.2,75.8,63.2,3.49,Yes,Yes,1
0.0,91.0,70.1,2.54,Yes,No,1
4.9,84.5,68.3,3.06,Yes,No,1
5.3,70.4,60.3,3.0,No,No,1
5.1,80.7,84.2,3.55,Yes,Yes,1
9.3,83.0,66.3,2.18,Yes,No,0
5.7,96.0,38.7,2.19,Yes,Yes,1
2.3,78.2,88.4,2.43,Yes,,1
8.8,99.3,97.0,3.56,No,No,1
2.3,90.5,62.6,3.68,Yes,No,1
5.4,58.7,91.4,1.83,Yes,Yes,1
5.3,70.6,63.0,2.99,Yes,No,1
2.4,88.5,56.1,2.6,Yes,No,1
6.5,66.0,57.2,2.46,Yes,No,1
4.6,87.2,95.6,3.0,Yes,Yes,1
5.0,97.2,91.5,3.92,Yes,No,1
2.8,79.1,81.4,3.04,Yes,No,0
6.3,97.5,55.8,2.31,Yes,No,1
2.5,96.6,83.0,2.19,Yes,,1
0.8,81.4,54.7,2.98,Yes,Yes,1
6.6,81.6,80.4,2.81,Yes,No,1
3.2,84.0,62.8,3.43,Yes,No,0
4.1,86.9,62.5,3.61,Yes,Yes,1
7.5,64.9,63.2,2.81,Yes,Yes,1
6.0,80.4,39.9,3.07,No,Yes,1
5.1,63.6,,3.81,Yes,No,1
5.9,78.2,68.7,3.55,Yes,Yes,1
2.7,79.6,54.9,2.01,Yes,No,0
5.4,62.0,83.3,1.64,No,Yes,0
6.0,68.1,88.6,1.69,Yes,No,1
5.4,77.6,47.6,1.42,Yes,No,0
3.6,100.0,48.4,2.92,Yes,No,1
0.0,66.7,68.5,1.77,Yes,No,1
5.0,83.4,100.0,3.12,Yes,No,1
4.2,,59.2,2.07,Yes,Yes,1
3.3,77.9,78.4,3.31,Yes,No,1
5.4,92.8,46.1,3.08,Yes,No,1
4.5,85.4,57.2,2.75,No,No,1
4.4,86.7,78.1,2.96,Yes,Yes,1
1.3,87.4,67.1,1.74,Yes,Yes,0
1.4,88.3,78.3,0.91,Yes,No,0
4.7,58.2,72.6,2.24,Yes,Yes,1
4.1,86.2,70.5,2.94,Yes,No,1
4.2,81.1,70.2,1.71,Yes,Yes,1
4.3,86.4,91.3,3.08,Yes,Yes,1
4.7,91.2,69.7,3.04,No,No,1
4.1,86.6,83.6,2.7,Yes,No,1
4.3,89.6,66.6,2.8,Yes,No,1
4.5,69.1,72.0,2.55,Yes,No,0
5.7,86.9,54.5,2.72,Yes,No,1
3.1,80.8,39.1,1.73,No,No,1
5.4,81.0,64.2,3.35,Yes,Yes,1
5.1,96.3,72.0,2.86,Yes,No,1
4.2,,63.3,2.99,Yes,No,1
3.1,74.7,78.6,2.09,Yes,No,1
4.7,67.6,58.4,1.57,No,Yes,1
5.6,78.7,49.5,3.48,Yes,No,1
2.1,93.8,48.3,1.58,Yes,No,1
4.1,63.7,80.2,2.38,Yes,No,1
4.1,84.8,57.9,2.53,Yes,No,1
2.8,54.1,70.4,2.79,Yes,Yes,1
2.9,74.4,49.1,2.84,Yes,,0
1.2,86.8,57.2,2.6,Yes,No,0
2.0,76.1,69.8,1.61,Yes,Yes,1
1.2,68.8,86.3,2.42,Yes,No,1
2.9,77.9,54.0,2.55,Yes,Yes,1
3.0,92.9,48.2,2.99,No,No,1
3.0,98.4,69.8,2.78,Yes,No,1
4.7,98.6,,3.41,Yes,No,1
3.7,89.5,63.4,3.2,Yes,Yes,1
2.7,86.0,88.2,1.72,Yes,No,0
2.7,92.8,44.1,2.66,Yes,Yes,1
2.0,69.3,57.5,2.92,Yes,No,0
3.6,71.3,69.8,2.26,Yes,No,0
3.6,96.2,56.7,3.67,Yes,Yes,1
6.9,91.4,74.8,2.23,Yes,No,1
6.8,91.6,69.9,1.71,Yes,No,1
6.7,84.4,66.1,1.37,Yes,No,1
7.7,72.9,100.0,2.29,Yes,No,1
1.8,70.1,54.9,2.29,Yes,Yes,0
5.2,92.3,65.8,2.35,Yes,No,1
5.4,93.9,77.1,1.07,Yes,Yes,1
4.9,69.7,58.5,2.63,No,No,0
7.8,73.9,71.8,3.43,,No,1
8.6,80.9,82.6,2.17,No,No,1
5.8,91.6,73.0,3.05,Yes,No,1
5.2,78.3,80.9,2.19,Yes,No,0
2.0,72.6,64.2,2.05,Yes,Yes,0
2.0,92.9,65.9,3.57,Yes,No,1
5.3,88.6,98.6,3.14,Yes,Yes,1
3.9,74.4,76.9,3.26,Yes,Yes,1
1.6,74.7,,4.0,Yes,Yes,1
3.8,,60.0,2.64,Yes,No,1
4.6,67.9,66.5,2.63,Yes,Yes,1
5.7,78.8,87.3,2.75,Yes,No,1
3.8,86.9,71.2,3.65,No,No,1
3.5,83.8,51.2,3.31,No,No,1
4.0,92.2,56.4,2.03,Yes,Yes,1
4.3,63.2,68.8,2.07,No,Yes,1
1.9,82.2,93.4,2.91,Yes,Yes,1
5.5,85.3,77.9,3.0,Yes,No,1
7.9,85.7,58.4,2.98,Yes,Yes,1
5.5,88.3,69.6,3.03,Yes,No,1
1.4,69.2,70.9,2.52,Yes,Yes,1
4.2,97.9,44.8,3.08,,Yes,1
0.8,87.0,69.5,3.1,Yes,No,0
0.7,88.2,64.7,2.02,Yes,No,0
5.2,75.7,67.7,1.77,Yes,Yes,0
4.1,84.0,56.5,2.82,No,No,0
2.8,96.6,75.6,2.36,Yes,No,0
0.2,81.8,,1.64,Yes,,0
1.7,84.1,58.4,3.19,Yes,No,1
4.3,85.5,97.8,2.95,Yes,Yes,1
4.1,64.0,64.4,3.63,Yes,Yes,1
5.2,80.1,49.5,,Yes,No,1
,89.6,88.3,2.7,Yes,Yes,1
3.4,76.6,91.2,1.64,Yes,No,1
4.8,81.5,55.5,3.64,Yes,No,1
3.8,81.6,63.5,3.08,Yes,No,1
3.1,64.6,67.3,3.28,Yes,Yes,1
3.6,90.8,63.9,2.47,Yes,No,1
5.7,67.1,49.2,2.61,Yes,No,1
2.1,86.6,53.7,2.88,Yes,No,0
6.1,80.5,100.0,2.12,Yes,No,1
6.7,78.2,60.8,2.1,Yes,No,1
4.1,82.7,,4.0,No,Yes,1
4.5,,81.5,2.89,Yes,Yes,1
1.5,90.9,62.7,2.16,No,No,0
8.2,77.3,59.8,1.65,Yes,Yes,1
5.8,80.2,54.1,1.82,Yes,Yes,0
4.3,72.5,77.8,2.87,Yes,Yes,1
4.1,65.9,72.9,1.97,Yes,No,1
4.8,92.5,86.6,1.88,Yes,No,0
2.8,69.9,63.4,2.49,Yes,No,1
4.5,73.9,89.3,2.89,No,Yes,1
2.3,86.2,72.1,3.54,Yes,Yes,1
4.9,67.2,61.9,2.07,Yes,Yes,1
,87.3,76.7,2.15,Yes,No,1
5.6,72.7,75.0,2.9,Yes,No,1
3.8,69.5,74.0,2.3,Yes,No,1
4.5,75.6,58.5,3.23,Yes,Yes,1
9.3,72.6,68.3,2.31,Yes,Yes,1
5.4,84.6,66.9,1.71,Yes,No,1
4.5,97.6,80.8,2.14,Yes,Yes,1
4.1,89.4,89.1,1.55,Yes,Yes,1
2.1,87.1,82.3,2.27,Yes,No,0
6.0,75.2,81.1,2.97,Yes,No,1
6.9,79.3,86.4,2.67,Yes,Yes,1
4.1,83.0,88.4,2.55,Yes,No,1
7.0,81.2,64.0,1.74,Yes,No,1
3.8,83.4,52.4,2.1,Yes,No,0
0.8,68.6,72.3,2.36,No,No,0
2.8,100.0,92.5,2.81,Yes,Yes,1
2.1,66.9,51.1,4.0,Yes,No,1
3.5,80.0,55.5,2.15,Yes,No,0
,90.7,70.8,3.29,Yes,No,1
2.3,73.3,61.6,1.83,Yes,No,0
3.9,93.1,84.8,1.91,Yes,Yes,1
4.4,66.0,71.1,1.25,Yes,No,1
2.7,73.3,82.6,2.08,Yes,Yes,0
2.4,55.6,,3.36,Yes,Yes,1
4.2,92.8,76.0,2.61,Yes,Yes,1
,68.3,52.3,3.48,Yes,Yes,1
2.9,73.8,60.3,2.28,Yes,No,0
2.6,89.8,40.5,3.38,Yes,No,0
3.7,85.2,58.4,,No,No,1
4.5,93.1,61.7,3.25,Yes,No,1
3.0,88.5,75.1,,No,No,1
3.4,91.2,52.7,2.47,Yes,No,0
3.6,76.1,96.6,1.68,Yes,No,0
2.0,80.4,88.3,,Yes,No,0
3.7,89.5,54.7,2.02,No,Yes,0
3.0,89.6,42.4,2.23,Yes,Yes,1
6.9,91.7,46.0,2.41,Yes,Yes,1
3.1,72.9,74.6,3.27,Yes,No,1
4.8,,51.4,3.11,Yes,No,0
4.7,67.5,65.6,3.09,Yes,No,1
2.0,76.1,78.4,2.44,No,No,1
1.8,80.2,75.9,2.49,Yes,No,0
3.2,68.2,81.0,3.2,No,No,0
5.2,79.3,50.7,3.8,Yes,No,1
3.0,88.3,79.9,1.76,Yes,No,1
2.8,92.2,80.4,3.51,Yes,No,1
0.0,74.8,84.3,3.31,Yes,No,1
3.3,87.6,82.4,3.1,Yes,No,1
4.6,67.3,50.9,2.15,Yes,Yes,0
4.8,74.0,33.4,2.71,Yes,No,1
4.8,82.5,75.5,2.91,No,No,1
3.4,74.2,94.0,2.19,Yes,Yes,0
3.6,72.7,58.5,3.47,,No,1
5.5,84.3,58.4,2.31,Yes,No,0
3.8,70.4,72.7,3.72,Yes,No,1
0.0,82.5,86.3,1.6,Yes,No,0
5.8,80.1,81.1,1.69,,No,1
2.1,86.9,52.4,1.32,,Yes,0
6.5,,63.6,3.15,Yes,Yes,1
7.0,82.8,61.7,2.01,Yes,No,1
5.4,75.8,78.7,2.07,Yes,No,1
5.6,92.4,81.5,3.29,Yes,Yes,1
7.3,83.4,56.9,3.86,No,Yes,1
2.0,71.6,58.0,2.12,Yes,No,0
4.5,83.2,74.5,3.6,Yes,No,1
4.4,74.5,66.9,3.02,No,No,1
2.3,53.5,58.6,2.64,No,No,0
7.6,70.7,63.4,1.81,Yes,No,0
3.0,77.1,79.2,1.66,Yes,Yes,0
2.7,,64.9,2.69,Yes,Yes,0
4.5,64.3,68.4,2.74,Yes,Yes,1
5.9,77.4,58.6,2.16,Yes,No,1
2.9,86.0,79.1,1.95,Yes,No,1
2.9,68.7,62.4,1.72,,No,1
4.9,84.1,74.2,2.89,Yes,No,1
1.4,59.0,72.8,3.12,Yes,No,0
2.6,86.8,64.4,3.15,No,Yes,1
2.5,75.0,57.7,3.07,Yes,No,0
3.2,66.5,,2.26,Yes,,0
3.7,93.4,65.6,3.76,Yes,Yes,1
,86.4,85.4,1.94,Yes,No,1
5.6,91.7,57.5,3.04,Yes,No,1
4.0,84.6,81.6,2.36,Yes,Yes,1
3.6,85.1,88.4,1.86,Yes,Yes,1
5.6,77.0,80.1,2.19,No,No,1
4.8,85.9,81.5,3.03,Yes,No,1
5.6,,66.5,3.41,Yes,No,1
6.5,74.2,77.2,2.87,Yes,Yes,1
,79.1,77.3,0.59,Yes,No,0
,67.2,46.3,3.16,Yes,No,0
4.0,80.9,65.6,1.16,No,No,1
4.1,86.0,52.4,3.99,No,No,1
4.5,82.6,42.6,,Yes,No,0
2.9,87.4,70.3,2.75,Yes,No,1
3.6,77.8,77.2,3.35,Yes,No,1
5.0,81.6,60.7,2.45,Yes,No,1
5.1,81.5,78.4,,Yes,No,1
6.4,100.0,79.3,2.38,Yes,No,1
0.1,67.0,72.2,2.73,Yes,No,0
1.0,100.0,63.3,2.7,Yes,No,1
6.6,73.2,80.9,2.8,Yes,No,1
5.1,77.5,97.3,0.31,No,No,0
5.4,84.3,40.1,2.58,Yes,No,1
3.5,87.6,81.8,1.53,Yes,Yes,1
3.1,80.9,53.5,4.0,Yes,Yes,1
4.4,83.7,83.6,3.2,Yes,No,1
2.3,96.4,85.8,3.3,Yes,No,1
1.2,100.0,64.8,2.98,Yes,No,1
2.0,85.7,64.5,3.12,Yes,No,1
4.2,88.9,70.7,2.02,Yes,Yes,1
5.1,80.2,72.8,3.2,Yes,No,0
7.0,99.4,68.0,3.25,Yes,Yes,1
4.7,80.0,88.1,2.77,No,Yes,1
4.9,86.8,47.5,3.19,Yes,No,0
7.0,69.9,63.5,3.39,Yes,No,1
2.6,52.3,80.8,2.66,No,No,1
,100.0,66.7,1.86,No,Yes,1
3.0,92.9,67.3,3.22,Yes,No,1
3.8,91.3,66.5,3.72,Yes,Yes,1
7.6,71.2,85.3,1.81,Yes,Yes,0
3.4,63.5,81.4,3.47,No,No,1
6.4,78.7,51.1,2.83,Yes,No,1
3.1,82.6,53.9,3.08,Yes,Yes,1
4.9,89.2,64.8,3.24,Yes,No,1
5.2,81.4,68.9,1.91,Yes,No,1
,95.3,84.6,2.86,Yes,No,1
5.4,85.1,69.2,3.37,Yes,No,0
2.8,,90.8,,No,Yes,1
,94.0,99.0,3.26,Yes,Yes,1
5.8,74.1,58.0,2.0,,Yes,1
2.7,85.5,73.6,2.79,No,Yes,1
4.9,75.3,86.5,2.48,Yes,Yes,1
2.1,74.0,74.6,2.7,Yes,Yes,0
4.2,97.8,76.2,3.43,Yes,No,1
1.9,93.2,64.2,1.67,Yes,No,0
5.3,87.2,62.8,3.02,Yes,No,1
9.3,95.6,74.2,2.96,Yes,Yes,1
6.6,85.4,86.0,1.97,Yes,No,1
5.3,96.1,55.4,3.44,Yes,Yes,1
2.4,72.2,69.0,2.24,Yes,,1
4.7,79.8,98.1,2.68,Yes,No,1
6.1,85.5,68.2,0.83,Yes,No,1
3.8,70.4,73.7,3.44,No,No,1
4.2,74.1,83.2,2.45,Yes,No,1
1.0,67.9,79.8,2.43,Yes,No,1
2.5,88.8,68.8,3.68,Yes,No,1
0.7,76.4,67.9,1.29,Yes,No,1
7.4,84.3,94.1,3.26,Yes,No,1
4.9,87.1,57.0,3.39,Yes,Yes,1
5.3,79.7,50.9,1.25,Yes,No,1
3.6,81.7,87.9,2.84,Yes,Yes,1
1.4,82.9,90.2,2.38,Yes,Yes,0
4.3,86.0,56.8,1.91,Yes,No,0
2.9,96.0,,1.74,Yes,No,1
2.3,69.5,76.8,3.16,No,No,0
4.1,82.4,69.7,3.48,Yes,Yes,1
4.2,68.4,73.1,,Yes,No,0
3.7,97.1,99.2,1.98,Yes,No,1
2.6,61.6,82.7,3.23,Yes,Yes,1
2.2,83.2,80.4,4.0,No,No,1
4.0,76.9,79.4,1.55,Yes,Yes,1
,75.2,62.7,1.62,Yes,Yes,1
1.1,89.2,66.9,1.88,Yes,Yes,0
2.8,87.2,69.5,1.89,No,No,1
3.7,71.0,58.5,3.48,No,No,1
3.7,86.4,79.6,1.92,Yes,No,1
2.9,84.5,88.9,4.0,Yes,No,1
7.5,73.3,70.2,2.98,Yes,No,1
4.7,65.6,59.4,3.38,No,No,0
2.2,90.0,59.8,3.1,Yes,No,1
0.6,88.9,95.6,1.91,Yes,No,1
3.7,87.0,62.9,1.65,Yes,No,0
6.7,75.7,53.4,3.33,Yes,Yes,1
4.3,94.5,49.4,3.53,Yes,No,0
0.0,100.0,64.6,2.97,Yes,No,1
1.5,83.1,89.9,2.66,Yes,Yes,1
4.2,87.1,90.4,2.73,Yes,No,1
5.9,72.5,80.6,2.82,No,Yes,1
4.3,72.6,60.6,1.69,No,No,1
4.3,100.0,84.1,2.7,No,Yes,1
5.9,100.0,68.8,2.66,Yes,No,1
6.3,78.6,80.9,1.38,Yes,Yes,1
2.8,74.2,100.0,0.72,Yes,Yes,0
4.8,,68.4,2.47,Yes,No,1
2.3,74.6,51.4,1.18,Yes,No,1
2.1,81.8,100.0,0.96,Yes,Yes,0
5.1,67.7,69.5,1.41,Yes,Yes,1
1.4,73.5,69.2,2.79,No,No,0
4.3,91.5,47.3,2.62,Yes,No,1
4.6,79.3,83.2,2.71,No,Yes,1
5.6,72.6,87.8,3.88,No,No,1
1.9,68.3,75.9,3.03,Yes,Yes,0
4.7,92.8,88.5,3.77,Yes,No,1
3.8,69.7,66.2,2.79,Yes,Yes,1
6.7,79.5,92.4,3.43,Yes,No,1
2.7,92.0,83.8,3.79,Yes,No,1
2.0,87.0,98.7,4.0,Yes,Yes,1
4.9,84.3,47.1,2.49,No,No,1
2.5,84.4,53.4,1.78,Yes,No,0
1.7,70.7,85.6,2.69,Yes,No,0
,73.2,77.9,3.63,Yes,No,1
4.8,76.0,58.5,3.79,No,No,1
0.0,49.7,73.7,2.74,Yes,Yes,0
2.3,76.5,86.3,2.92,Yes,Yes,0
2.0,80.0,89.5,3.81,Yes,Yes,1
5.2,80.2,76.4,2.78,Yes,Yes,1
6.7,79.7,73.9,3.14,Yes,No,1
7.7,83.3,79.5,3.32,Yes,No,1
5.3,84.0,71.8,2.49,Yes,No,0
2.0,99.0,100.0,2.03,Yes,Yes,1
2.0,82.8,66.1,4.0,Yes,No,1
2.3,90.4,72.7,2.23,Yes,No,0
4.9,74.6,69.6,1.88,Yes,Yes,1
6.3,84.7,95.8,2.46,Yes,No,1
0.5,84.3,64.5,2.77,Yes,No,0
5.1,78.7,85.7,,Yes,No,1
5.7,62.5,71.6,2.41,Yes,No,1
4.6,66.5,65.6,3.01,Yes,No,1
9.8,86.1,41.1,3.9,Yes,No,1
5.0,80.6,71.5,2.41,Yes,Yes,1
4.1,78.5,97.5,2.68,Yes,Yes,1
5.1,73.8,61.9,3.66,Yes,No,1
3.0,82.2,28.4,1.92,Yes,No,0
2.0,87.5,76.7,1.78,No,No,1
4.8,100.0,54.2,2.15,Yes,Yes,1
6.1,81.1,45.4,2.57,Yes,No,0
3.6,79.4,64.2,3.3,No,No,0
5.7,84.3,51.9,1.46,Yes,No,1
3.3,94.1,87.6,2.16,No,No,1
6.9,,75.0,1.84,Yes,Yes,1
4.4,87.5,81.0,1.49,No,No,1
5.0,65.7,62.2,1.71,Yes,Yes,0
5.4,81.7,70.1,3.19,No,No,1
1.6,69.0,63.2,2.72,Yes,No,0
3.7,70.9,75.4,2.76,Yes,Yes,1
7.3,100.0,37.7,3.1,Yes,Yes,1
4.1,77.7,70.6,2.97,Yes,No,1
6.5,73.7,86.5,2.96,Yes,No,1
5.6,96.6,96.6,4.0,Yes,No,1
0.7,82.4,83.5,3.14,Yes,No,1
5.3,,73.2,0.66,Yes,Yes,1
2.0,82.3,45.4,3.07,Yes,Yes,0
4.5,66.3,73.3,3.36,Yes,Yes,1
3.3,72.2,,3.01,Yes,Yes,0
4.0,83.7,57.5,2.21,Yes,No,1
,53.7,67.8,1.9,Yes,Yes,0
4.4,89.5,66.8,2.68,Yes,No,1
3.2,84.5,,,Yes,Yes,1
1.6,90.9,66.7,3.29,Yes,Yes,1
2.2,77.4,52.0,1.3,Yes,No,0
5.6,86.3,63.6,2.9,Yes,Yes,1
7.1,70.9,59.5,3.59,Yes,Yes,1
4.4,71.6,87.1,3.21,Yes,Yes,1
5.5,82.9,48.8,4.0,Yes,No,1
5.8,82.1,63.5,2.14,Yes,Yes,1
1.5,81.7,84.5,1.76,Yes,Yes,1
0.6,96.6,57.9,3.3,Yes,No,0
3.9,78.8,76.5,3.75,Yes,No,1
0.6,86.7,71.2,1.91,Yes,Yes,1
3.5,85.6,65.7,2.68,Yes,Yes,1
1.3,83.5,44.4,2.82,Yes,Yes,1
2.9,86.3,71.3,2.96,Yes,No,1
2.6,62.8,,3.57,No,No,0
4.9,75.7,75.0,4.0,Yes,No,1
2.8,93.9,49.0,2.23,Yes,Yes,1
1.9,78.6,78.7,2.42,Yes,Yes,1
4.1,89.5,80.7,1.55,Yes,No,1
9.3,87.0,91.9,3.22,Yes,No,1
4.9,48.4,63.6,1.83,Yes,No,1
,67.4,60.4,2.74,No,No,0
4.2,74.5,84.4,2.99,No,No,1
8.6,74.3,55.1,3.62,Yes,No,1
4.3,76.9,58.0,2.61,Yes,No,0
6.3,77.0,66.2,2.3,Yes,,1
6.0,72.8,53.8,2.18,Yes,Yes,0
6.1,74.5,92.5,3.37,No,No,1
5.9,60.3,85.3,2.4,No,No,1
4.5,100.0,38.3,2.69,No,No,1
3.7,97.0,38.7,3.2,Yes,Yes,1
3.5,91.4,61.2,3.59,Yes,No,1
4.2,80.8,78.4,3.49,Yes,,1
4.8,71.7,81.2,1.63,No,Yes,1
1.7,100.0,92.1,1.86,Yes,Yes,1
3.5,71.4,75.2,2.91,Yes,No,1
3.9,97.5,54.9,3.07,Yes,Yes,1
4.2,85.1,77.3,2.85,No,No,1
3.4,71.7,53.6,3.6,Yes,Yes,1
